generic_slug,name,manufacturer,dar_number,popularity,aliases,presentations,status
betamethasone,Betnovate,GlaxoSmithKline Bangladesh,DAR-001903,900,,,active
betamethasone,Betaderm,Square Pharmaceuticals,DAR-001910,700,,,active
betamethasone,Betasol,Opsonin Pharma,DAR-001917,500,,,active
metformin,Comet,Square Pharmaceuticals,DAR-001924,900,কমেট,,active
metformin,Metfor,Opsonin Pharma,DAR-001931,700,,,active
metformin,Informet,Incepta Pharmaceuticals,DAR-001938,500,,,active
metformin,Bigmet,Aristopharma,DAR-001945,350,,,active
glimepiride,Amaryl,Sanofi Bangladesh,DAR-001952,900,,,active
glimepiride,Secrin,Square Pharmaceuticals,DAR-001959,700,,,active
glimepiride,Glimex,Opsonin Pharma,DAR-001966,500,,,active
gliclazide,Diamicron,Servier,DAR-001973,900,,,active
gliclazide,Glizid,Beximco Pharmaceuticals,DAR-001980,700,,,active
gliclazide,Dimerol,Square Pharmaceuticals,DAR-001987,500,,,active
sitagliptin,Januvia,MSD,DAR-001994,900,,,active
sitagliptin,Zita,Square Pharmaceuticals,DAR-002001,700,,,active
sitagliptin,Sitagen,Incepta Pharmaceuticals,DAR-002008,500,,,active
insulin-human-70-30,Mixtard 30 HM,Novo Nordisk,DAR-002015,900,,,active
insulin-human-70-30,Humulin 70/30,Eli Lilly,DAR-002022,700,,,active
insulin-human-70-30,Ansulin 30/70,Square Pharmaceuticals,DAR-002029,500,,,active
amlodipine,Amdocal,Beximco Pharmaceuticals,DAR-002036,900,অ্যামডোকাল,,active
amlodipine,Camlodin,Square Pharmaceuticals,DAR-002043,700,,,active
amlodipine,Amlopin,Incepta Pharmaceuticals,DAR-002050,500,,,active
losartan,Angilock,Square Pharmaceuticals,DAR-002057,900,,,active
losartan,Osartil,Incepta Pharmaceuticals,DAR-002064,700,,,active
losartan,Losardil,ACI Limited,DAR-002071,500,,,active
enalapril,Envas,Beximco Pharmaceuticals,DAR-002078,900,,,active
enalapril,Enaril,Square Pharmaceuticals,DAR-002085,700,,,active
bisoprolol,Concor,Merck,DAR-002092,900,,,active
bisoprolol,Bisocor,Square Pharmaceuticals,DAR-002099,700,,,active
bisoprolol,Bisopro,Incepta Pharmaceuticals,DAR-002106,500,,,active
atenolol,Tenormin,AstraZeneca,DAR-002113,900,,,active
atenolol,Tenoloc,Opsonin Pharma,DAR-002120,700,,,active
atenolol,Atenol,Square Pharmaceuticals,DAR-002127,500,,,active
frusemide,Lasix,Sanofi Bangladesh,DAR-002134,900,,,active
frusemide,Fusid,Square Pharmaceuticals,DAR-002141,700,,,active
frusemide,Frusin,Opsonin Pharma,DAR-002148,500,,,active
spironolactone,Aldactone,Pfizer,DAR-002155,900,,,active
spironolactone,Spirolac,Square Pharmaceuticals,DAR-002162,700,,,active
spironolactone,Spirocard,Incepta Pharmaceuticals,DAR-002169,500,,,active
atorvastatin,Atova,Square Pharmaceuticals,DAR-002176,900,,,active
atorvastatin,Anzitor,Incepta Pharmaceuticals,DAR-002183,700,,,active
atorvastatin,Tiginor,Aristopharma,DAR-002190,500,,,active
rosuvastatin,Rosuva,Square Pharmaceuticals,DAR-002197,900,,,active
rosuvastatin,Rovasta,Incepta Pharmaceuticals,DAR-002204,700,,,active
rosuvastatin,Rosutin,Beximco Pharmaceuticals,DAR-002211,500,,,active
clopidogrel,Plavix,Sanofi Bangladesh,DAR-002218,900,,,active
clopidogrel,Clopid,Square Pharmaceuticals,DAR-002225,700,,,active
clopidogrel,Clotin,Incepta Pharmaceuticals,DAR-002232,500,,,active
warfarin,Warfin,Square Pharmaceuticals,DAR-002239,900,,,active
warfarin,Coumadin,Bristol-Myers Squibb,DAR-002246,700,,,active
warfarin,Marevan,Incepta Pharmaceuticals,DAR-002253,500,,,active
levothyroxine,Thyrox,Square Pharmaceuticals,DAR-002260,900,,,active
levothyroxine,Eltroxin,GlaxoSmithKline Bangladesh,DAR-002267,700,,,active
levothyroxine,Thyrin,Incepta Pharmaceuticals,DAR-002274,500,,,active
amitriptyline,Tryptin,Square Pharmaceuticals,DAR-002281,900,,,active
amitriptyline,Amilin,Beximco Pharmaceuticals,DAR-002288,700,,,active
amitriptyline,Amit,Opsonin Pharma,DAR-002295,500,,,active
sertraline,Zoloft,Pfizer,DAR-002302,900,,,active
sertraline,Serlift,Square Pharmaceuticals,DAR-002309,700,,,active
sertraline,Setra,Incepta Pharmaceuticals,DAR-002316,500,,,active
clonazepam,Rivotril,Roche,DAR-002323,900,,,active
clonazepam,Cloron,Square Pharmaceuticals,DAR-002330,700,,,active
clonazepam,Clonium,Beximco Pharmaceuticals,DAR-002337,500,,,active
diazepam,Sedil,Square Pharmaceuticals,DAR-002344,900,,,active
diazepam,Valium,Roche,DAR-002351,700,,,active
diazepam,Diapam,Opsonin Pharma,DAR-002358,500,,,active
allopurinol,Zyloric,GlaxoSmithKline Bangladesh,DAR-002365,900,,,active
allopurinol,Loric,Square Pharmaceuticals,DAR-002372,700,,,active
allopurinol,Alopurin,Opsonin Pharma,DAR-002379,500,,,active
oral-rehydration-salts,Orsaline-N,Social Marketing Company,DAR-002386,900,ওরস্যালাইন,,active
oral-rehydration-salts,Rice Saline,Social Marketing Company,DAR-002393,700,,,active
oral-rehydration-salts,Glucolyte,Opsonin Pharma,DAR-002400,500,,,active
zinc-sulfate,Zinc-B,Square Pharmaceuticals,DAR-002407,900,,,active
zinc-sulfate,Baby Zinc,Square Pharmaceuticals,DAR-002414,700,,syr:10 mg/5 ml:100 ml; oral_drop:20 mg/ml:15 ml,active
zinc-sulfate,Zif,Opsonin Pharma,DAR-002421,500,,,active
calcium-carbonate-vitamin-d3,Calbo-D,Square Pharmaceuticals,DAR-002428,900,,,active
calcium-carbonate-vitamin-d3,Coralcal-D,Radiant Pharmaceuticals,DAR-002435,700,,,active
calcium-carbonate-vitamin-d3,Calcin-D,Opsonin Pharma,DAR-002442,500,,,active
ferrous-sulfate,Feofol,Square Pharmaceuticals,DAR-002449,900,,,active
ferrous-sulfate,Fefol,GlaxoSmithKline Bangladesh,DAR-002456,700,,,active
ferrous-sulfate,Zif-CI,Opsonin Pharma,DAR-002463,500,,,active
