slug,name,name_bn,atc_code,therapeutic_class,aliases,is_controlled,is_pediatric_weight_based,components,default_presentations,status
ranitidine,Ranitidine,র‍্যানিটিডিন,A02BA02,H2 receptor antagonist,Ranitidine hydrochloride,0,1,,tab:150 mg:10x10; tab:300 mg:10x10; syr:75 mg/5 ml:100 ml; inj:50 mg/2 ml:10,
domperidone,Domperidone,ডমপেরিডন,A03FA03,Prokinetic,Domperidone maleate,0,1,,tab:10 mg:10x10; susp:5 mg/5 ml:60 ml; oral_drop:5 mg/ml:15 ml,
ondansetron,Ondansetron,অনডানসেট্রন,A04AA01,Antiemetic,Ondansetron hydrochloride,0,1,,tab:4 mg:10x10; tab:8 mg:10x10; syr:4 mg/5 ml:50 ml; inj:8 mg/4 ml:5,
hyoscine-butylbromide,Hyoscine butylbromide,হায়োসিন বিউটাইলব্রোমাইড,A03BB01,Antispasmodic,Hyoscine|Butylscopolamine,0,1,,tab:10 mg:10x10; inj:20 mg/ml:5,
amoxicillin,Amoxicillin,অ্যামোক্সিসিলিন,J01CA04,Penicillin antibiotic,Amoxycillin|Amoxicillin trihydrate|অ্যামোক্সিসিলিন,0,1,,cap:250 mg:10x10; cap:500 mg:10x10; susp:125 mg/5 ml:100 ml; susp:250 mg/5 ml:100 ml; oral_drop:100 mg/ml:15 ml,
amoxicillin-clavulanic-acid,Amoxicillin + Clavulanic acid,অ্যামোক্সিসিলিন + ক্ল্যাভুল্যানিক অ্যাসিড,J01CR02,Penicillin antibiotic,Amoxiclav|Co-amoxiclav,0,1,amoxicillin:500|clavulanic-acid:125,tab:500/125 mg:2x6; tab:875/125 mg:2x6; susp:200/28.5 mg/5 ml:70 ml; susp:400/57 mg/5 ml:70 ml; inj:1.2 g:1,
cefixime,Cefixime,সেফিক্সিম,J01DD08,Cephalosporin (3rd generation),Cefixime trihydrate,0,1,,cap:200 mg:2x6; cap:400 mg:1x6; susp:100 mg/5 ml:30 ml; susp:200 mg/5 ml:50 ml; oral_drop:25 mg/ml:15 ml,
cefuroxime,Cefuroxime,সেফুরক্সিম,J01DC02,Cephalosporin (2nd generation),Cefuroxime axetil,0,1,,tab:250 mg:2x5; tab:500 mg:2x5; susp:125 mg/5 ml:70 ml; inj:750 mg:1; inj:1.5 g:1,
ceftriaxone,Ceftriaxone,সেফট্রিয়াক্সন,J01DD04,Cephalosporin (3rd generation),Ceftriaxone sodium,0,1,,inj:250 mg:1; inj:500 mg:1; inj:1 g:1; inj:2 g:1,
azithromycin,Azithromycin,এজিথ্রোমাইসিন,J01FA10,Macrolide antibiotic,Azithromycin dihydrate|এজিথ্রোমাইসিন,0,1,,tab:250 mg:1x6; tab:500 mg:1x6; susp:100 mg/5 ml:15 ml; susp:200 mg/5 ml:30 ml,
doxycycline,Doxycycline,ডক্সিসাইক্লিন,J01AA02,Tetracycline antibiotic,Doxycycline hyclate,0,1,,cap:100 mg:10x10,
ciprofloxacin,Ciprofloxacin,সিপ্রোফ্লক্সাসিন,J01MA02,Fluoroquinolone antibiotic,Ciprofloxacin hydrochloride|Cipro,0,1,,tab:250 mg:10x10; tab:500 mg:10x10; tab:750 mg:10x10; susp:250 mg/5 ml:60 ml; inj:200 mg/100 ml:100 ml; eye_drop:0.3 %:5 ml,
levofloxacin,Levofloxacin,লেভোফ্লক্সাসিন,J01MA12,Fluoroquinolone antibiotic,Levofloxacin hemihydrate,0,1,,tab:250 mg:1x10; tab:500 mg:1x10; tab:750 mg:1x5; inj:500 mg/100 ml:100 ml,
moxifloxacin,Moxifloxacin,মক্সিফ্লক্সাসিন,S01AE07,Fluoroquinolone antibiotic,Moxifloxacin hydrochloride|Moxifloxacin ophthalmic,0,0,,eye_drop:0.5 %:5 ml,
metronidazole,Metronidazole,মেট্রোনিডাজল,J01XD01,Nitroimidazole antibiotic,Metronidazole benzoate|Metro,0,1,,tab:400 mg:10x10; tab:500 mg:10x10; susp:200 mg/5 ml:60 ml; inj:500 mg/100 ml:100 ml,
cotrimoxazole,Cotrimoxazole,কোট্রাইমক্সাজল,J01EE01,Sulfonamide antibiotic,Co-trimoxazole|Sulfamethoxazole + Trimethoprim|SMX-TMP,0,1,sulfamethoxazole:400|trimethoprim:80,tab:480 mg:10x10; tab:960 mg:10x10; susp:240 mg/5 ml:60 ml,
nitrofurantoin,Nitrofurantoin,নাইট্রোফিউরানটয়েন,J01XE01,Urinary antiseptic,,0,1,,tab:50 mg:10x10; tab:100 mg:10x10,
fluconazole,Fluconazole,ফ্লুকোনাজল,J02AC01,Azole antifungal,,0,1,,cap:50 mg:1x10; cap:150 mg:1x4; susp:50 mg/5 ml:35 ml; inj:200 mg/100 ml:100 ml,
clotrimazole,Clotrimazole,ক্লোট্রাইমাজল,D01AC01,Azole antifungal,Clotrimazole topical,0,0,,cream:1 %:20 g; sol:1 %:20 ml; pessary:100 mg:6; pessary:500 mg:1,
albendazole,Albendazole,অ্যালবেনডাজল,P02CA03,Anthelmintic,,0,1,,tab:400 mg:1x10; susp:200 mg/5 ml:10 ml,
cetirizine,Cetirizine,সেটিরিজিন,R06AE07,Antihistamine,Cetirizine hydrochloride|Cetrizine,0,1,,tab:10 mg:10x10; syr:5 mg/5 ml:60 ml; oral_drop:2.5 mg/ml:15 ml,
loratadine,Loratadine,লোরাটাডিন,R06AX13,Antihistamine,,0,0,,tab:10 mg:10x10; syr:5 mg/5 ml:60 ml,
fexofenadine,Fexofenadine,ফেক্সোফেনাডিন,R06AX26,Antihistamine,Fexofenadine hydrochloride,0,0,,tab:120 mg:5x10; tab:180 mg:5x10; susp:30 mg/5 ml:50 ml,
chlorpheniramine,Chlorpheniramine,ক্লোরফেনিরামিন,R06AB04,Antihistamine (sedating),Chlorphenamine|Chlorpheniramine maleate,0,1,,tab:4 mg:10x10; syr:2 mg/5 ml:100 ml,
montelukast,Montelukast,মন্টেলুকাস্ট,R03DC03,Leukotriene receptor antagonist,Montelukast sodium,0,0,,tab:10 mg:3x10; tab:5 mg:3x10; tab:4 mg:3x10; sachet:4 mg:3x10,
salbutamol,Salbutamol,সালবিউটামল,R03AC02,Short-acting beta agonist,Albuterol|Salbutamol sulphate|সালবিউটামল,0,1,,tab:2 mg:10x10; tab:4 mg:10x10; syr:2 mg/5 ml:100 ml; inh_mdi:100 mcg/actuation:200 doses; neb:2.5 mg/2.5 ml:20; neb:5 mg/2.5 ml:20,
salmeterol-fluticasone,Salmeterol + Fluticasone,সালমেটেরল + ফ্লুটিকাসন,R03AK06,ICS/LABA inhaler,Fluticasone + Salmeterol,0,0,salmeterol:0.025|fluticasone:0.125,inh_mdi:25/125 mcg:120 doses; inh_mdi:25/250 mcg:120 doses; inh_dpi:50/250 mcg:60 doses; inh_dpi:50/500 mcg:60 doses,
budesonide,Budesonide,বুডেসোনাইড,R03BA02,Inhaled corticosteroid,Budesonide nebule,0,0,,neb:0.5 mg/2 ml:20; neb:1 mg/2 ml:20; inh_mdi:200 mcg/actuation:200 doses,
xylometazoline,Xylometazoline,জাইলোমেটাজোলিন,R01AA07,Nasal decongestant,Xylometazoline hydrochloride|Xylometazoline nasal,0,0,,nasal_drop:0.05 %:10 ml; nasal_drop:0.1 %:10 ml; nasal_spray:0.1 %:10 ml,
prednisolone,Prednisolone,প্রেডনিসোলন,H02AB06,Corticosteroid,,0,1,,tab:5 mg:10x10; tab:10 mg:10x10; tab:20 mg:10x10; syr:5 mg/5 ml:50 ml,
dexamethasone,Dexamethasone,ডেক্সামেথাসন,H02AB02,Corticosteroid,Dexamethasone sodium phosphate,0,1,,tab:0.5 mg:10x10; inj:5 mg/ml:10,
betamethasone,Betamethasone,বিটামেথাসন,D07AC01,Topical corticosteroid,Betamethasone valerate|Betamethasone topical,0,0,,cream:0.1 %:15 g; oint:0.1 %:15 g,
metformin,Metformin,মেটফরমিন,A10BA02,Biguanide,Metformin hydrochloride|মেটফরমিন,0,0,,tab:500 mg:10x10; tab:850 mg:10x10; tab:1000 mg:10x10; tab:500 mg XR:10x10; tab:1000 mg XR:10x10,
glimepiride,Glimepiride,গ্লিমেপিরাইড,A10BB12,Sulfonylurea,,0,0,,tab:1 mg:10x10; tab:2 mg:10x10; tab:3 mg:10x10; tab:4 mg:10x10,
gliclazide,Gliclazide,গ্লিক্লাজাইড,A10BB09,Sulfonylurea,,0,0,,tab:80 mg:10x10; tab:30 mg MR:10x10; tab:60 mg MR:10x10,
sitagliptin,Sitagliptin,সিটাগ্লিপটিন,A10BH01,DPP-4 inhibitor,Sitagliptin phosphate,0,0,,tab:50 mg:3x10; tab:100 mg:3x10,
insulin-human-70-30,Insulin human 70/30,হিউম্যান ইনসুলিন ৭০/৩০,A10AD01,Insulin,Biphasic isophane insulin|Insulin 30/70|Premixed insulin,0,0,,insulin:100 IU/ml:10 ml; insulin:300 IU/3 ml:3 ml pen,
amlodipine,Amlodipine,অ্যামলোডিপিন,C08CA01,Calcium channel blocker,Amlodipine besylate|অ্যামলোডিপিন,0,0,,tab:5 mg:10x10; tab:10 mg:10x10,
losartan,Losartan,লোসারটান,C09CA01,Angiotensin receptor blocker,Losartan potassium|লোসারটান,0,0,,tab:25 mg:10x10; tab:50 mg:10x10; tab:100 mg:5x10,
enalapril,Enalapril,ইনালাপ্রিল,C09AA02,ACE inhibitor,Enalapril maleate,0,0,,tab:5 mg:10x10; tab:10 mg:10x10,
bisoprolol,Bisoprolol,বিসোপ্রোলল,C07AB07,Beta blocker,Bisoprolol fumarate,0,0,,tab:2.5 mg:10x10; tab:5 mg:10x10,
atenolol,Atenolol,অ্যাটেনোলল,C07AB03,Beta blocker,,0,0,,tab:50 mg:10x10; tab:100 mg:10x10,
frusemide,Frusemide,ফ্রুসেমাইড,C03CA01,Loop diuretic,Furosemide|ফুরোসেমাইড,0,1,,tab:40 mg:10x10; inj:20 mg/2 ml:10,
spironolactone,Spironolactone,স্পাইরোনোল্যাকটন,C03DA01,Potassium-sparing diuretic,,0,1,,tab:25 mg:10x10; tab:50 mg:10x10,
atorvastatin,Atorvastatin,অ্যাটরভাস্টাটিন,C10AA05,Statin,Atorvastatin calcium,0,0,,tab:10 mg:3x10; tab:20 mg:3x10; tab:40 mg:3x10,
rosuvastatin,Rosuvastatin,রোসুভাস্টাটিন,C10AA07,Statin,Rosuvastatin calcium,0,0,,tab:5 mg:3x10; tab:10 mg:3x10; tab:20 mg:3x10,
clopidogrel,Clopidogrel,ক্লোপিডোগ্রেল,B01AC04,Antiplatelet,Clopidogrel bisulfate,0,0,,tab:75 mg:3x10,
warfarin,Warfarin,ওয়ারফারিন,B01AA03,Anticoagulant,Warfarin sodium,0,0,,tab:1 mg:10x10; tab:3 mg:10x10; tab:5 mg:10x10,
levothyroxine,Levothyroxine,লেভোথাইরক্সিন,H03AA01,Thyroid hormone,Thyroxine|L-thyroxine|Levothyroxine sodium,0,1,,tab:50 mcg:10x10; tab:100 mcg:10x10,
amitriptyline,Amitriptyline,অ্যামিট্রিপটাইলিন,N06AA09,Tricyclic antidepressant,Amitriptyline hydrochloride,0,0,,tab:10 mg:10x10; tab:25 mg:10x10,
sertraline,Sertraline,সারট্রালিন,N06AB06,SSRI antidepressant,Sertraline hydrochloride,0,0,,tab:50 mg:3x10; tab:100 mg:3x10,
clonazepam,Clonazepam,ক্লোনাজেপাম,N03AE01,Benzodiazepine,,1,0,,tab:0.5 mg:10x10; tab:2 mg:10x10,
diazepam,Diazepam,ডায়াজেপাম,N05BA01,Benzodiazepine,,1,1,,tab:5 mg:10x10; inj:10 mg/2 ml:10,
allopurinol,Allopurinol,অ্যালোপিউরিনল,M04AA01,Xanthine oxidase inhibitor,,0,0,,tab:100 mg:10x10; tab:300 mg:5x10,
oral-rehydration-salts,Oral rehydration salts,ওরাল স্যালাইন,A07CA,Electrolyte replacement,ORS|Oral saline|খাবার স্যালাইন|স্যালাইন,0,0,,sachet:ORS 20.5 g:1,
zinc-sulfate,Zinc sulfate,জিংক সালফেট,A12CB01,Mineral supplement,Zinc|জিংক,0,0,,tab:20 mg:10x10; syr:10 mg/5 ml:100 ml,
calcium-carbonate-vitamin-d3,Calcium carbonate + Vitamin D3,ক্যালসিয়াম কার্বোনেট + ভিটামিন ডি৩,A12AX,Calcium supplement,Calcium + D|ক্যালসিয়াম,0,0,calcium-carbonate:500|vitamin-d3:,tab:500 mg:3x10,
ferrous-sulfate,Ferrous sulfate,ফেরাস সালফেট,B03AA07,Haematinic,Iron|Ferrous sulphate|আয়রন,0,1,,tab:200 mg:10x10; syr:100 mg/5 ml:100 ml,
clavulanic-acid,Clavulanic acid,ক্ল্যাভুল্যানিক অ্যাসিড,J01CR,Beta-lactamase inhibitor,Potassium clavulanate,0,0,,,
sulfamethoxazole,Sulfamethoxazole,সালফামেথক্সাজল,J01EC01,Sulfonamide antibiotic,,0,0,,,
trimethoprim,Trimethoprim,ট্রাইমেথোপ্রিম,J01EA01,Antibacterial,,0,0,,,
salmeterol,Salmeterol,সালমেটেরল,R03AC12,Long-acting beta agonist,Salmeterol xinafoate,0,0,,,
fluticasone,Fluticasone,ফ্লুটিকাসন,R03BA05,Inhaled corticosteroid,Fluticasone propionate,0,0,,,
calcium-carbonate,Calcium carbonate,ক্যালসিয়াম কার্বোনেট,A12AA04,Calcium supplement,,0,0,,,
vitamin-d3,Vitamin D3,ভিটামিন ডি৩,A11CC05,Vitamin,Colecalciferol|Cholecalciferol,0,0,,,
